Mode, NKB, LOCAL_SIZE, NUM_WORK_GROUPS, GigaCalcPerSecond
Multiply,	    3072,	  32,	     98304,	     5.754
Multiply,	    4096,	  32,	    131072,	     6.370
Multiply,	    6144,	  32,	    196608,	     6.835
Multiply,	    8192,	  32,	    262144,	     7.453
Multiply,	       1,	  64,	        16,	     0.015
Multiply,	       2,	  64,	        32,	     0.038
Multiply,	       4,	  64,	        64,	     0.074
Multiply,	       8,	  64,	       128,	     0.143
Multiply,	      16,	  64,	       256,	     0.217
Multiply,	      32,	  64,	       512,	     0.554
Multiply,	      64,	  64,	      1024,	     1.067
Multiply,	     128,	  64,	      2048,	     0.628
Multiply,	     256,	  64,	      4096,	     1.296
Multiply,	     512,	  64,	      8192,	     1.853
Multiply,	    1024,	  64,	     16384,	     4.060
Multiply,	    2048,	  64,	     32768,	     4.957
Multiply,	    3072,	  64,	     49152,	     7.220
Multiply,	    4096,	  64,	     65536,	     8.061
Multiply,	    6144,	  64,	     98304,	     8.002
Multiply,	    8192,	  64,	    131072,	    11.136
Multiply,	       1,	 128,	         8,	     0.017
Multiply,	       2,	 128,	        16,	     0.030
Multiply,	       4,	 128,	        32,	     0.066
Multiply,	       8,	 128,	        64,	     0.093
Multiply,	      16,	 128,	       128,	     0.314
Multiply,	      32,	 128,	       256,	     0.561
Multiply,	      64,	 128,	       512,	     0.754
Multiply,	     128,	 128,	      1024,	     0.590
Multiply,	     256,	 128,	      2048,	     1.289
Multiply,	     512,	 128,	      4096,	     2.381
Multiply,	    1024,	 128,	      8192,	     4.375
Multiply,	    2048,	 128,	     16384,	     5.040
Multiply,	    3072,	 128,	     24576,	     7.037
Multiply,	    4096,	 128,	     32768,	     8.384
Multiply,	    6144,	 128,	     49152,	     9.817
Multiply,	    8192,	 128,	     65536,	    12.035
Multiply,	       1,	 256,	         4,	     0.020
Multiply,	       2,	 256,	         8,	     0.040
Multiply,	       4,	 256,	        16,	     0.066
Multiply,	       8,	 256,	        32,	     0.165
Multiply,	      16,	 256,	        64,	     0.299
Multiply,	      32,	 256,	       128,	     0.651
Multiply,	      64,	 256,	       256,	     1.274
Multiply,	     128,	 256,	       512,	     0.634
Multiply,	     256,	 256,	      1024,	     0.999
Multiply,	     512,	 256,	      2048,	     2.371
Multiply,	    1024,	 256,	      4096,	     4.339
Multiply,	    2048,	 256,	      8192,	     6.198
Multiply,	    3072,	 256,	     12288,	     7.634
Multiply,	    4096,	 256,	     16384,	     8.630
Multiply,	    6144,	 256,	     24576,	     8.124
Multiply,	    8192,	 256,	     32768,	    10.489
Multiply,	       1,	 512,	         2,	     0.021
Multiply,	       2,	 512,	         4,	     0.040
Multiply,	       4,	 512,	         8,	     0.055
Multiply,	       8,	 512,	        16,	     0.149
Multiply,	      16,	 512,	        32,	     0.321
Multiply,	      32,	 512,	        64,	     0.652
Multiply,	      64,	 512,	       128,	     1.282
Multiply,	     128,	 512,	       256,	     0.521
Multiply,	     256,	 512,	       512,	     1.109
Multiply,	     512,	 512,	      1024,	     2.098
Multiply,	    1024,	 512,	      2048,	     3.946
Multiply,	    2048,	 512,	      4096,	     5.755
Multiply,	    3072,	 512,	      6144,	     7.230
Multiply,	    4096,	 512,	      8192,	     8.731
Multiply,	    6144,	 512,	     12288,	     8.024
Multiply,	    8192,	 512,	     16384,	    11.997
Multiply-Add,	       1,	   8,	       128,	     0.017
Multiply-Add,	       2,	   8,	       256,	     0.039
Multiply-Add,	       4,	   8,	       512,	     0.082
Multiply-Add,	       8,	   8,	      1024,	     0.125
Multiply-Add,	      16,	   8,	      2048,	     0.272
Multiply-Add,	      32,	   8,	      4096,	     0.561
Multiply-Add,	      64,	   8,	      8192,	     0.882
Multiply-Add,	     128,	   8,	     16384,	     0.514
Multiply-Add,	     256,	   8,	     32768,	     0.892
Multiply-Add,	     512,	   8,	     65536,	     1.446
Multiply-Add,	    1024,	   8,	    131072,	     1.836
Multiply-Add,	    2048,	   8,	    262144,	     2.175
Multiply-Add,	    3072,	   8,	    393216,	     2.303
Multiply-Add,	    4096,	   8,	    524288,	     2.468
Multiply-Add,	    6144,	   8,	    786432,	     2.470
Multiply-Add,	    8192,	   8,	   1048576,	     2.677
Multiply-Add,	       1,	  16,	        64,	     0.016
Multiply-Add,	       2,	  16,	       128,	     0.033
Multiply-Add,	       4,	  16,	       256,	     0.061
Multiply-Add,	       8,	  16,	       512,	     0.156
Multiply-Add,	      16,	  16,	      1024,	     0.330
Multiply-Add,	      32,	  16,	      2048,	     0.627
Multiply-Add,	      64,	  16,	      4096,	     1.111
Multiply-Add,	     128,	  16,	      8192,	     0.624
Multiply-Add,	     256,	  16,	     16384,	     1.034
Multiply-Add,	     512,	  16,	     32768,	     1.466
Multiply-Add,	    1024,	  16,	     65536,	     2.525
Multiply-Add,	    2048,	  16,	    131072,	     3.253
Multiply-Add,	    3072,	  16,	    196608,	     3.624
Multiply-Add,	    4096,	  16,	    262144,	     3.975
Multiply-Add,	    6144,	  16,	    393216,	     4.058
Multiply-Add,	    8192,	  16,	    524288,	     4.707
Multiply-Add,	       1,	  32,	        32,	     0.021
Multiply-Add,	       2,	  32,	        64,	     0.024
Multiply-Add,	       4,	  32,	       128,	     0.080
Multiply-Add,	       8,	  32,	       256,	     0.150
Multiply-Add,	      16,	  32,	       512,	     0.223
Multiply-Add,	      32,	  32,	      1024,	     0.567
Multiply-Add,	      64,	  32,	      2048,	     1.123
Multiply-Add,	     128,	  32,	      4096,	     0.579
Multiply-Add,	     256,	  32,	      8192,	     1.175
Multiply-Add,	     512,	  32,	     16384,	     2.119
Multiply-Add,	    1024,	  32,	     32768,	     3.346
Multiply-Add,	    2048,	  32,	     65536,	     4.753
Multiply-Add,	    3072,	  32,	     98304,	     4.935
Multiply-Add,	    4096,	  32,	    131072,	     5.765
Multiply-Add,	    6144,	  32,	    196608,	     5.567
Multiply-Add,	    8192,	  32,	    262144,	     7.500
Multiply-Add,	       1,	  64,	        16,	     0.020
Multiply-Add,	       2,	  64,	        32,	     0.024
Multiply-Add,	       4,	  64,	        64,	     0.075
Multiply-Add,	       8,	  64,	       128,	     0.098
Multiply-Add,	      16,	  64,	       256,	     0.222
Multiply-Add,	      32,	  64,	       512,	     0.520
Multiply-Add,	      64,	  64,	      1024,	     0.740
Multiply-Add,	     128,	  64,	      2048,	     0.458
Multiply-Add,	     256,	  64,	      4096,	     1.127
Multiply-Add,	     512,	  64,	      8192,	     2.159
Multiply-Add,	    1024,	  64,	     16384,	     3.397
Multiply-Add,	    2048,	  64,	     32768,	     5.574
Multiply-Add,	    3072,	  64,	     49152,	     5.398
Multiply-Add,	    4096,	  64,	     65536,	     6.841
Multiply-Add,	    6144,	  64,	     98304,	     7.723
Multiply-Add,	    8192,	  64,	    131072,	     8.594
Multiply-Add,	       1,	 128,	         8,	     0.020
Multiply-Add,	       2,	 128,	        16,	     0.027
Multiply-Add,	       4,	 128,	        32,	     0.074
Multiply-Add,	       8,	 128,	        64,	     0.142
Multiply-Add,	      16,	 128,	       128,	     0.321
Multiply-Add,	      32,	 128,	       256,	     0.652
Multiply-Add,	      64,	 128,	       512,	     0.886
Multiply-Add,	     128,	 128,	      1024,	     0.577
Multiply-Add,	     256,	 128,	      2048,	     1.185
Multiply-Add,	     512,	 128,	      4096,	     2.046
Multiply-Add,	    1024,	 128,	      8192,	     2.924
Multiply-Add,	    2048,	 128,	     16384,	     5.684
Multiply-Add,	    3072,	 128,	     24576,	     6.119
Multiply-Add,	    4096,	 128,	     32768,	     6.571
Multiply-Add,	    6144,	 128,	     49152,	     7.338
Multiply-Add,	    8192,	 128,	     65536,	     9.242
Multiply-Add,	       1,	 256,	         4,	     0.020
Multiply-Add,	       2,	 256,	         8,	     0.040
Multiply-Add,	       4,	 256,	        16,	     0.079
Multiply-Add,	       8,	 256,	        32,	     0.134
Multiply-Add,	      16,	 256,	        64,	     0.282
Multiply-Add,	      32,	 256,	       128,	     0.566
Multiply-Add,	      64,	 256,	       256,	     0.856
Multiply-Add,	     128,	 256,	       512,	     0.550
Multiply-Add,	     256,	 256,	      1024,	     1.042
Multiply-Add,	     512,	 256,	      2048,	     2.080
Multiply-Add,	    1024,	 256,	      4096,	     3.494
Multiply-Add,	    2048,	 256,	      8192,	     5.963
Multiply-Add,	    3072,	 256,	     12288,	     6.604
Multiply-Add,	    4096,	 256,	     16384,	     6.912
Multiply-Add,	    6144,	 256,	     24576,	     7.172
Multiply-Add,	    8192,	 256,	     32768,	     9.757
Multiply-Add,	       1,	 512,	         2,	     0.019
Multiply-Add,	       2,	 512,	         4,	     0.029
Multiply-Add,	       4,	 512,	         8,	     0.082
Multiply-Add,	       8,	 512,	        16,	     0.104
Multiply-Add,	      16,	 512,	        32,	     0.235
Multiply-Add,	      32,	 512,	        64,	     0.621
Multiply-Add,	      64,	 512,	       128,	     1.256
Multiply-Add,	     128,	 512,	       256,	     0.477
Multiply-Add,	     256,	 512,	       512,	     0.955
Multiply-Add,	     512,	 512,	      1024,	     2.062
Multiply-Add,	    1024,	 512,	      2048,	     4.019
Multiply-Add,	    2048,	 512,	      4096,	     5.978
Multiply-Add,	    3072,	 512,	      6144,	     5.717
Multiply-Add,	    4096,	 512,	      8192,	     7.729
Multiply-Add,	    6144,	 512,	     12288,	     7.954
Multiply-Add,	    8192,	 512,	     16384,	     8.885
Multiply+Reduction,	       1,	   8,	       128,	     0.004
Multiply+Reduction,	       2,	   8,	       256,	     0.010
Multiply+Reduction,	       4,	   8,	       512,	     0.018
Multiply+Reduction,	       8,	   8,	      1024,	     0.038
Multiply+Reduction,	      16,	   8,	      2048,	     0.081
Multiply+Reduction,	      32,	   8,	      4096,	     0.132
Multiply+Reduction,	      64,	   8,	      8192,	     0.256
Multiply+Reduction,	     128,	   8,	     16384,	     0.374
Multiply+Reduction,	     256,	   8,	     32768,	     0.698
Multiply+Reduction,	     512,	   8,	     65536,	     0.922
Multiply+Reduction,	    1024,	   8,	    131072,	     1.177
Multiply+Reduction,	    2048,	   8,	    262144,	     1.345
Multiply+Reduction,	    3072,	   8,	    393216,	     1.430
Multiply+Reduction,	    4096,	   8,	    524288,	     1.461
Multiply+Reduction,	    6144,	   8,	    786432,	     1.474
Multiply+Reduction,	    8192,	   8,	   1048576,	     0.100
Multiply+Reduction,	       1,	  16,	        64,	     0.004
Multiply+Reduction,	       2,	  16,	       128,	     0.007
Multiply+Reduction,	       4,	  16,	       256,	     0.014
Multiply+Reduction,	       8,	  16,	       512,	     0.001
Multiply+Reduction,	      16,	  16,	      1024,	     0.001
Multiply+Reduction,	      32,	  16,	      2048,	     0.002
Multiply+Reduction,	      64,	  16,	      4096,	     0.223
Multiply+Reduction,	     128,	  16,	      8192,	     0.001
Multiply+Reduction,	     256,	  16,	     16384,	     0.706
Multiply+Reduction,	     512,	  16,	     32768,	     1.250
Multiply+Reduction,	    1024,	  16,	     65536,	     1.698
Multiply+Reduction,	    2048,	  16,	    131072,	     1.998
Multiply+Reduction,	    3072,	  16,	    196608,	     2.237
Multiply+Reduction,	    4096,	  16,	    262144,	     2.388
Multiply+Reduction,	    6144,	  16,	    393216,	     2.439
Multiply+Reduction,	    8192,	  16,	    524288,	     2.578
Multiply+Reduction,	       1,	  32,	        32,	     0.004
Multiply+Reduction,	       2,	  32,	        64,	     0.011
Multiply+Reduction,	       4,	  32,	       128,	     0.020
Multiply+Reduction,	       8,	  32,	       256,	     0.042
Multiply+Reduction,	      16,	  32,	       512,	     0.083
Multiply+Reduction,	      32,	  32,	      1024,	     0.133
Multiply+Reduction,	      64,	  32,	      2048,	     0.298
Multiply+Reduction,	     128,	  32,	      4096,	     0.437
Multiply+Reduction,	     256,	  32,	      8192,	     1.090
Multiply+Reduction,	     512,	  32,	     16384,	     1.643
Multiply+Reduction,	    1024,	  32,	     32768,	     2.470
Multiply+Reduction,	    2048,	  32,	     65536,	     3.328
Multiply+Reduction,	    3072,	  32,	     98304,	     3.281
Multiply+Reduction,	    4096,	  32,	    131072,	     3.852
Multiply+Reduction,	    6144,	  32,	    196608,	     4.182
Multiply+Reduction,	    8192,	  32,	    262144,	     4.143
Multiply+Reduction,	       1,	  64,	        16,	     0.004
Multiply+Reduction,	       2,	  64,	        32,	     0.009
Multiply+Reduction,	       4,	  64,	        64,	     0.021
Multiply+Reduction,	       8,	  64,	       128,	     0.041
Multiply+Reduction,	      16,	  64,	       256,	     0.065
Multiply+Reduction,	      32,	  64,	       512,	     0.122
Multiply+Reduction,	      64,	  64,	      1024,	     0.319
Multiply+Reduction,	     128,	  64,	      2048,	     0.472
Multiply+Reduction,	     256,	  64,	      4096,	     1.185
Multiply+Reduction,	     512,	  64,	      8192,	     1.988
Multiply+Reduction,	    1024,	  64,	     16384,	     3.089
Multiply+Reduction,	    2048,	  64,	     32768,	     3.883
Multiply+Reduction,	    3072,	  64,	     49152,	     4.920
Multiply+Reduction,	    4096,	  64,	     65536,	     5.454
Multiply+Reduction,	    6144,	  64,	     98304,	     6.219
Multiply+Reduction,	    8192,	  64,	    131072,	     6.265
Multiply+Reduction,	       1,	 128,	         8,	     0.005
Multiply+Reduction,	       2,	 128,	        16,	     0.010
Multiply+Reduction,	       4,	 128,	        32,	     0.019
Multiply+Reduction,	       8,	 128,	        64,	     0.039
Multiply+Reduction,	      16,	 128,	       128,	     0.077
Multiply+Reduction,	      32,	 128,	       256,	     0.161
Multiply+Reduction,	      64,	 128,	       512,	     0.233
Multiply+Reduction,	     128,	 128,	      1024,	     0.582
Multiply+Reduction,	     256,	 128,	      2048,	     1.094
Multiply+Reduction,	     512,	 128,	      4096,	     1.606
Multiply+Reduction,	    1024,	 128,	      8192,	     3.227
Multiply+Reduction,	    2048,	 128,	     16384,	     4.950
Multiply+Reduction,	    3072,	 128,	     24576,	     5.759
Multiply+Reduction,	    4096,	 128,	     32768,	     6.688
Multiply+Reduction,	    6144,	 128,	     49152,	     7.448
Multiply+Reduction,	    8192,	 128,	     65536,	     8.254
Multiply+Reduction,	       1,	 256,	         4,	     0.004
Multiply+Reduction,	       2,	 256,	         8,	     0.009
Multiply+Reduction,	       4,	 256,	        16,	     0.018
Multiply+Reduction,	       8,	 256,	        32,	     0.041
Multiply+Reduction,	      16,	 256,	        64,	     0.080
Multiply+Reduction,	      32,	 256,	       128,	     0.154
Multiply+Reduction,	      64,	 256,	       256,	     0.300
Multiply+Reduction,	     128,	 256,	       512,	     0.575
Multiply+Reduction,	     256,	 256,	      1024,	     1.218
Multiply+Reduction,	     512,	 256,	      2048,	     2.161
Multiply+Reduction,	    1024,	 256,	      4096,	     3.295
Multiply+Reduction,	    2048,	 256,	      8192,	     4.768
Multiply+Reduction,	    3072,	 256,	     12288,	     5.157
Multiply+Reduction,	    4096,	 256,	     16384,	     6.130
Multiply+Reduction,	    6144,	 256,	     24576,	     6.813
Multiply+Reduction,	    8192,	 256,	     32768,	     7.253
Multiply+Reduction,	       1,	 512,	         2,	     0.004
Multiply+Reduction,	       2,	 512,	         4,	     0.010
Multiply+Reduction,	       4,	 512,	         8,	     0.017
Multiply+Reduction,	       8,	 512,	        16,	     0.036
Multiply+Reduction,	      16,	 512,	        32,	     0.080
Multiply+Reduction,	      32,	 512,	        64,	     0.167
Multiply+Reduction,	      64,	 512,	       128,	     0.245
Multiply+Reduction,	     128,	 512,	       256,	     0.527
Multiply+Reduction,	     256,	 512,	       512,	     0.956
Multiply+Reduction,	     512,	 512,	      1024,	     1.865
Multiply+Reduction,	    1024,	 512,	      2048,	     2.564
Multiply+Reduction,	    2048,	 512,	      4096,	     4.315
Multiply+Reduction,	    3072,	 512,	      6144,	     5.077
Multiply+Reduction,	    4096,	 512,	      8192,	     5.573
Multiply+Reduction,	    6144,	 512,	     12288,	     5.753
Multiply+Reduction,	    8192,	 512,	     16384,	     6.587
