Mode, NKB, LOCAL_SIZE, NUM_WORK_GROUPS, GigaCalcPerSecond
Multiply-Add,	       2,	  64,	        32,	     0.061
Multiply-Add,	       4,	  64,	        64,	     0.058
Multiply-Add,	       8,	  64,	       128,	     0.120
Multiply-Add,	      16,	  64,	       256,	     0.284
Multiply-Add,	      32,	  64,	       512,	     0.955
Multiply-Add,	      64,	  64,	      1024,	     1.163
Multiply-Add,	     128,	  64,	      2048,	     1.664
Multiply-Add,	     256,	  64,	      4096,	     1.736
Multiply-Add,	     512,	  64,	      8192,	     2.821
Multiply-Add,	    1024,	  64,	     16384,	     4.685
Multiply-Add,	    2048,	  64,	     32768,	     6.721
Multiply-Add,	    3072,	  64,	     49152,	     7.428
Multiply-Add,	    4096,	  64,	     65536,	     7.131
Multiply-Add,	    6144,	  64,	     98304,	     9.060
Multiply-Add,	    8192,	  64,	    131072,	     9.791
Multiply-Add,	       1,	 128,	         8,	     0.027
Multiply-Add,	       2,	 128,	        16,	     0.057
Multiply-Add,	       4,	 128,	        32,	     0.058
Multiply-Add,	       8,	 128,	        64,	     0.224
Multiply-Add,	      16,	 128,	       128,	     0.451
Multiply-Add,	      32,	 128,	       256,	     0.911
Multiply-Add,	      64,	 128,	       512,	     1.558
Multiply-Add,	     128,	 128,	      1024,	     3.354
Multiply-Add,	     256,	 128,	      2048,	     1.055
Multiply-Add,	     512,	 128,	      4096,	     2.969
Multiply-Add,	    1024,	 128,	      8192,	     4.863
Multiply-Add,	    2048,	 128,	     16384,	     6.940
Multiply-Add,	    3072,	 128,	     24576,	     7.972
Multiply-Add,	    4096,	 128,	     32768,	     7.875
Multiply-Add,	    6144,	 128,	     49152,	     9.948
Multiply-Add,	    8192,	 128,	     65536,	    10.364
Multiply-Add,	       1,	 256,	         4,	     0.030
Multiply-Add,	       2,	 256,	         8,	     0.059
Multiply-Add,	       4,	 256,	        16,	     0.119
Multiply-Add,	       8,	 256,	        32,	     0.120
Multiply-Add,	      16,	 256,	        64,	     0.222
Multiply-Add,	      32,	 256,	       128,	     0.898
Multiply-Add,	      64,	 256,	       256,	     1.059
Multiply-Add,	     128,	 256,	       512,	     3.261
Multiply-Add,	     256,	 256,	      1024,	     1.612
Multiply-Add,	     512,	 256,	      2048,	     2.331
Multiply-Add,	    1024,	 256,	      4096,	     4.651
Multiply-Add,	    2048,	 256,	      8192,	     6.253
Multiply-Add,	    3072,	 256,	     12288,	     7.655
Multiply-Add,	    4096,	 256,	     16384,	     7.793
Multiply-Add,	    6144,	 256,	     24576,	    10.020
Multiply-Add,	    8192,	 256,	     32768,	    10.782
Multiply-Add,	       1,	 512,	         2,	     0.031
Multiply-Add,	       2,	 512,	         4,	     0.059
Multiply-Add,	       4,	 512,	         8,	     0.053
Multiply-Add,	       8,	 512,	        16,	     0.235
Multiply-Add,	      16,	 512,	        32,	     0.243
Multiply-Add,	      32,	 512,	        64,	     0.727
Multiply-Add,	      64,	 512,	       128,	     1.832
Multiply-Add,	     128,	 512,	       256,	     1.888
Multiply-Add,	     256,	 512,	       512,	     1.748
Multiply-Add,	     512,	 512,	      1024,	     3.048
Multiply-Add,	    1024,	 512,	      2048,	     4.926
Multiply-Add,	    2048,	 512,	      4096,	     6.979
Multiply-Add,	    3072,	 512,	      6144,	     7.568
Multiply-Add,	    4096,	 512,	      8192,	     8.018
Multiply-Add,	    6144,	 512,	     12288,	    10.029
Multiply-Add,	    8192,	 512,	     16384,	    10.823
Multiply+Reduction,	       1,	   8,	       128,	     0.005
Multiply+Reduction,	       2,	   8,	       256,	     0.011
Multiply+Reduction,	       4,	   8,	       512,	     0.018
Multiply+Reduction,	       8,	   8,	      1024,	     0.035
Multiply+Reduction,	      16,	   8,	      2048,	     0.075
Multiply+Reduction,	      32,	   8,	      4096,	     0.138
Multiply+Reduction,	      64,	   8,	      8192,	     0.260
Multiply+Reduction,	     128,	   8,	     16384,	     0.430
Multiply+Reduction,	     256,	   8,	     32768,	     0.727
Multiply+Reduction,	     512,	   8,	     65536,	     0.965
Multiply+Reduction,	    1024,	   8,	    131072,	     1.192
Multiply+Reduction,	    2048,	   8,	    262144,	     1.430
Multiply+Reduction,	    3072,	   8,	    393216,	     1.470
Multiply+Reduction,	    4096,	   8,	    524288,	     1.483
Multiply+Reduction,	    6144,	   8,	    786432,	     1.524
Multiply+Reduction,	    8192,	   8,	   1048576,	     1.541
Multiply+Reduction,	       1,	  16,	        64,	     0.005
Multiply+Reduction,	       2,	  16,	       128,	     0.010
Multiply+Reduction,	       4,	  16,	       256,	     0.020
Multiply+Reduction,	       8,	  16,	       512,	     0.038
Multiply+Reduction,	      16,	  16,	      1024,	     0.083
Multiply+Reduction,	      32,	  16,	      2048,	     0.156
Multiply+Reduction,	      64,	  16,	      4096,	     0.281
Multiply+Reduction,	     128,	  16,	      8192,	     0.540
Multiply+Reduction,	     256,	  16,	     16384,	     0.938
Multiply+Reduction,	     512,	  16,	     32768,	     1.339
Multiply+Reduction,	    1024,	  16,	     65536,	     1.826
Multiply+Reduction,	    2048,	  16,	    131072,	     2.141
Multiply+Reduction,	    3072,	  16,	    196608,	     2.381
Multiply+Reduction,	    4096,	  16,	    262144,	     2.462
Multiply+Reduction,	    6144,	  16,	    393216,	     2.554
Multiply+Reduction,	    8192,	  16,	    524288,	     2.632
Multiply+Reduction,	       1,	  32,	        32,	     0.005
Multiply+Reduction,	       2,	  32,	        64,	     0.010
Multiply+Reduction,	       4,	  32,	       128,	     0.022
Multiply+Reduction,	       8,	  32,	       256,	     0.034
Multiply+Reduction,	      16,	  32,	       512,	     0.086
Multiply+Reduction,	      32,	  32,	      1024,	     0.168
Multiply+Reduction,	      64,	  32,	      2048,	     0.315
Multiply+Reduction,	     128,	  32,	      4096,	     0.592
Multiply+Reduction,	     256,	  32,	      8192,	     1.047
Multiply+Reduction,	     512,	  32,	     16384,	     1.692
Multiply+Reduction,	    1024,	  32,	     32768,	     2.594
Multiply+Reduction,	    2048,	  32,	     65536,	     3.591
Multiply+Reduction,	    3072,	  32,	     98304,	     3.895
Multiply+Reduction,	    4096,	  32,	    131072,	     4.046
Multiply+Reduction,	    6144,	  32,	    196608,	     4.343
Multiply+Reduction,	    8192,	  32,	    262144,	     4.442
Multiply+Reduction,	       1,	  64,	        16,	     0.005
Multiply+Reduction,	       2,	  64,	        32,	     0.015
Multiply+Reduction,	       4,	  64,	        64,	     0.027
Multiply+Reduction,	       8,	  64,	       128,	     0.060
Multiply+Reduction,	      16,	  64,	       256,	     0.117
Multiply+Reduction,	      32,	  64,	       512,	     0.240
Multiply+Reduction,	      64,	  64,	      1024,	     0.436
Multiply+Reduction,	     128,	  64,	      2048,	     0.881
Multiply+Reduction,	     256,	  64,	      4096,	     1.290
Multiply+Reduction,	     512,	  64,	      8192,	     2.566
Multiply+Reduction,	    1024,	  64,	     16384,	     3.189
Multiply+Reduction,	    2048,	  64,	     32768,	     5.136
Multiply+Reduction,	    3072,	  64,	     49152,	     5.622
Multiply+Reduction,	    4096,	  64,	     65536,	     5.673
Multiply+Reduction,	    6144,	  64,	     98304,	     6.491
Multiply+Reduction,	    8192,	  64,	    131072,	     7.014
Multiply+Reduction,	       1,	 128,	         8,	     0.005
Multiply+Reduction,	       2,	 128,	        16,	     0.014
Multiply+Reduction,	       4,	 128,	        32,	     0.031
Multiply+Reduction,	       8,	 128,	        64,	     0.044
Multiply+Reduction,	      16,	 128,	       128,	     0.118
Multiply+Reduction,	      32,	 128,	       256,	     0.174
Multiply+Reduction,	      64,	 128,	       512,	     0.329
Multiply+Reduction,	     128,	 128,	      1024,	     0.608
Multiply+Reduction,	     256,	 128,	      2048,	     1.087
Multiply+Reduction,	     512,	 128,	      4096,	     2.028
Multiply+Reduction,	    1024,	 128,	      8192,	     3.512
Multiply+Reduction,	    2048,	 128,	     16384,	     4.939
Multiply+Reduction,	    3072,	 128,	     24576,	     6.726
Multiply+Reduction,	    4096,	 128,	     32768,	     7.537
Multiply+Reduction,	    6144,	 128,	     49152,	     8.673
Multiply+Reduction,	    8192,	 128,	     65536,	     9.228
Multiply+Reduction,	       1,	 256,	         4,	     0.005
Multiply+Reduction,	       2,	 256,	         8,	     0.009
Multiply+Reduction,	       4,	 256,	        16,	     0.018
Multiply+Reduction,	       8,	 256,	        32,	     0.039
Multiply+Reduction,	      16,	 256,	        64,	     0.077
Multiply+Reduction,	      32,	 256,	       128,	     0.157
Multiply+Reduction,	      64,	 256,	       256,	     0.304
Multiply+Reduction,	     128,	 256,	       512,	     0.598
Multiply+Reduction,	     256,	 256,	      1024,	     1.538
Multiply+Reduction,	     512,	 256,	      2048,	     2.681
Multiply+Reduction,	    1024,	 256,	      4096,	     3.185
Multiply+Reduction,	    2048,	 256,	      8192,	     5.035
Multiply+Reduction,	    3072,	 256,	     12288,	     6.169
Multiply+Reduction,	    4096,	 256,	     16384,	     6.691
Multiply+Reduction,	    6144,	 256,	     24576,	     7.465
Multiply+Reduction,	    8192,	 256,	     32768,	     8.074
Multiply+Reduction,	       1,	 512,	         2,	     0.005
Multiply+Reduction,	       2,	 512,	         4,	     0.010
Multiply+Reduction,	       4,	 512,	         8,	     0.020
Multiply+Reduction,	       8,	 512,	        16,	     0.038
Multiply+Reduction,	      16,	 512,	        32,	     0.077
Multiply+Reduction,	      32,	 512,	        64,	     0.149
Multiply+Reduction,	      64,	 512,	       128,	     0.246
Multiply+Reduction,	     128,	 512,	       256,	     0.517
Multiply+Reduction,	     256,	 512,	       512,	     1.290
Multiply+Reduction,	     512,	 512,	      1024,	     1.894
Multiply+Reduction,	    1024,	 512,	      2048,	     3.156
Multiply+Reduction,	    2048,	 512,	      4096,	     4.581
Multiply+Reduction,	    3072,	 512,	      6144,	     5.499
Multiply+Reduction,	    4096,	 512,	      8192,	     5.994
Multiply+Reduction,	    6144,	 512,	     12288,	     6.663
Multiply+Reduction,	    8192,	 512,	     16384,	     7.060
